"Protein Accession"	"DNA Accession"	"AMR Gene Family"	"Drug Class"	"Resistance Mechanism"
"ABS70978.1"	"EU022315.1"	"AAC(3)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"QKT21444.1"	"MT090547.1"	"AAC(3)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAA39184.1"	"X55652"	"AAC(3)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"KSC15183.1"	"LLLC01000048.1"	"AAC(3)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAA25683.1"	"L06161"	"AAC(3)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"ABB43029.1"	"DQ241380.1"	"AAC(3)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"QEQ43476.1"	"MN366378.1"	"AAC(3)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAA25334.1"	"M55427"	"AAC(3)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAA16194.1"	"M88012"	"AAC(3)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAA88552.1"	"M22999"	"AAC(3)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAA26685.1"	"M55426"	"AAC(3)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"BAA78619.1"	"AB028210.1"	"AAC(3)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"WP_064190968.1"	"NG_048575.1"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"WP_064190969.1"	"NG_048576.1"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAE48335.2"	"AJ584652"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAK55557.1"	"AM283489"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"ABR10839.1"	"EF614235"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AEZ05106.1"	"JN596280"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"APB03223.1"	"KX531053.1"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAP43642.1"	"AY289608"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAA98298.1"	"M18967"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAL20537.1"	"AE006468.2"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"BAD12078.1"	"AB119105"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"BAD14386.1"	"AB104852"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"BAH66386.1"	"AB462903"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"BAN78519.1"	"AB472901.2"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"ACI28880.1"	"EU886977"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"BAM46120.1"	"AB709942"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"BAO21229.1"	"AB894482.1"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"BAQ22025.1"	"AP014611"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AFJ11384.1"	"JQ808129"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAT74613.1"	"AY660529.1"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAC46343.1"	"U59183"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAN41403.1"	"AY136758"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"ACS44715.1"	"FJ854362"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAL38577.1"	"AF445082"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AKN19287.1"	"KR091911.1"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AIK02012.1"	"KF998105.1"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAD02244.1"	"AF043381"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"WP_071846215.1"	"NG_052213.1"	"AAC(6')-Ib-cr"	"aminoglycoside antibiotic;fluoroquinolone antibiotic"	"antibiotic inactivation"
"ADY02579.1"	"HQ170516.1"	"AAC(6')-Ib-cr"	"aminoglycoside antibiotic;fluoroquinolone antibiotic"	"antibiotic inactivation"
"KJX28101.1"	"JZKY01000061.1"	"AAC(6')-Ib-cr"	"aminoglycoside antibiotic;fluoroquinolone antibiotic"	"antibiotic inactivation"
"ABX24471.1"	"EU161636.1"	"AAC(6')-Ib-cr"	"aminoglycoside antibiotic;fluoroquinolone antibiotic"	"antibiotic inactivation"
"ACD56150.1"	"EU675686.2"	"AAC(6')-Ib-cr"	"aminoglycoside antibiotic;fluoroquinolone antibiotic"	"antibiotic inactivation"
"NON98701.1"	"JABGAB010000032.1"	"AAC(6')-Ib-cr"	"aminoglycoside antibiotic;fluoroquinolone antibiotic"	"antibiotic inactivation"
"AZK52946.1"	"CP034250.1"	"AAC(6')-Ib-cr"	"aminoglycoside antibiotic;fluoroquinolone antibiotic"	"antibiotic inactivation"
"AYD68572.1"	"MH569711.1"	"AAC(6')-Ib-cr"	"aminoglycoside antibiotic;fluoroquinolone antibiotic"	"antibiotic inactivation"
"ACL37342.1"	"FJ503047"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"BAD11815.1"	"AB164230"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"ABU55430.1"	"EU085533"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAA26549.1"	"M94066"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAA88548.1"	"GU565967.1"	"AAC(6');APH(2'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAA39038.1"	"X55353"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAA21889.1"	"L09246"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAC41391.1"	"L29044"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAB63533.1"	"L12710"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAM92464.1"	"AY123251"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAA25680.1"	"L06163"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAD46626.1"	"AF162771"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAE50925.1"	"AJ584700"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAE50926.1"	"AJ584701"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAC41392.1"	"L29045"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAA87229.1"	"L29510"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAA90937.1"	"U13880.2"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAK63041.1"	"AF337947.1"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAA91010.1"	"Z54241.1"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAC25500.1"	"AF047556"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAD03490.1"	"AF031326"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAD03491.1"	"AF031327"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"BAD10948.2"	"AB116646"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAD03492.1"	"AF031328"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAD03493.1"	"AF031329"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAD03494.1"	"AF031330"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAD03495.1"	"AF031331"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAD03496.1"	"AF031332"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAF03531.1"	"AF144880"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAD52985.1"	"AF140221"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AEA07977.1"	"HQ247816.1"	"AAC(6')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAU10334.1"	"AY712687"	"ANT(6)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAO49597.1"	"AF550679.1"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAL36430.1"	"U37105.2"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAV32840.1"	"AY758206"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"ACJ47200.1"	"FJ381668"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"ABW91178.1"	"EU746499.1"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAI57696.1"	"AJ884726.1"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"ABD58917.1"	"DQ393783"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"ACF17980.1"	"EU675686"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"ACK43806.1"	"FJ460181"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAF27727.1"	"AF156486"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAN87151.1"	"AY171244"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAK12750.1"	"AM261837"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAH10847.1"	"AJ809407"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"ABG72894.1"	"DQ677333"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AET15272.1"	"CP003022"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CTQ57092.1"	"LN873256.1"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAC14728.1"	"AF047479"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAN34365.1"	"AY138986"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAF17880.1"	"AF137361"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAJ32504.1"	"AM087411"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAJ32491.1"	"AM087405"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"BAD00739.1"	"AB114632"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAN41439.1"	"AY139603"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAJ13568.1"	"AM040708.1"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"ABG49324.1"	"DQ390458"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAB14620.1"	"AL009126"	"ANT(6)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAA27459.1"	"M72415.1"	"ANT(6)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"XP_753111.1"	"XM_748018.1"	"ATP-binding cassette (ABC) antibiotic efflux pump"	"cephalosporin;penam;peptide antibiotic"	"antibiotic efflux"
"BAD89844.2"	"AB204810"	"multidrug and toxic compound extrusion (MATE) transporter"	"acridine dye;fluoroquinolone antibiotic;triclosan"	"antibiotic efflux"
"ACJ59254.1"	"CP001172.1"	"small multidrug resistance (SMR) antibiotic efflux pump"	"aminocoumarin antibiotic;macrolide antibiotic"	"antibiotic efflux"
"CAB46491.1"	"AJ133121"	"ACC beta-lactamase"	"cephalosporin;monobactam;penam"	"antibiotic inactivation"
"AAF86691.1"	"AF180952"	"ACC beta-lactamase"	"cephalosporin;monobactam;penam"	"antibiotic inactivation"
"AAF86697.1"	"AF180958"	"ACC beta-lactamase"	"cephalosporin;monobactam;penam"	"antibiotic inactivation"
"ABP49606.1"	"EF504260"	"ACC beta-lactamase"	"cephalosporin;monobactam;penam"	"antibiotic inactivation"
"CCK86740.1"	"HE819401"	"ACC beta-lactamase"	"cephalosporin;monobactam;penam"	"antibiotic inactivation"
"CAB51471.1"	"AJ007350.1"	"ACI beta-lactamase"	"cephalosporin;penam;penem"	"antibiotic inactivation"
"ABO11759.2"	"CP000521.1"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"fosfomycin"	"antibiotic efflux"
"ACJ41547.2"	"CP001182.2"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"fluoroquinolone antibiotic"	"antibiotic efflux"
"WP_001985623.1"	"NC_010410.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminoglycoside antibiotic;benzalkonium chloride;carbapenem;cephalosporin;glycylcycline;penam;tetracycline antibiotic"	"antibiotic efflux"
"ACJ42146.1"	"CP001182.1"	"ampC-type beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"ACQ82816.1"	"FJ911554.1"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"acridine dye;macrolide antibiotic"	"antibiotic efflux"
"AJF82744.1"	"CP010781.1"	"fluoroquinolone resistant gyrA"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"AHB92962.1"	"CP006768.1"	"Outer Membrane Porin (Opr)"	"carbapenem;cephalosporin;cephamycin;monobactam;penam;penem"	"reduced permeability to antibiotic;resistance by absence"
"WP_000202252.1"	"NZ_CP009257.1"	"fluoroquinolone resistant parC"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"AAC73564.1"	"U00096.3"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan"	"antibiotic efflux"
"BAA16344.1"	"AP009048.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminoglycoside antibiotic"	"antibiotic efflux"
"AAC76297.1"	"U00096"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"cephalosporin;cephamycin;fluoroquinolone antibiotic;penam"	"antibiotic efflux"
"AAC76298.1"	"U00096"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"cephalosporin;cephamycin;fluoroquinolone antibiotic;penam"	"antibiotic efflux"
"AAC76296.1"	"U00096"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"cephalosporin;cephamycin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan"	"antibiotic efflux"
"AAC45086.2"	"U58495"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AEV91214.1"	"JN848330"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AFU25650.1"	"JX440355"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"CCK86741.1"	"HE819402"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AFU25647.1"	"JX440354"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AFU25653.1"	"JX440356"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"BAM34463.1"	"AB737978"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AHM76771.1"	"KF992026"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AHM76777.1"	"KF992028"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AHM76779.1"	"KF992029"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"CAJ28994.1"	"AM076977"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AHA80105.1"	"KF526117"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AHA80106.1"	"KF526118"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AHM76774.1"	"KF992027"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AGU38146.1"	"KF515536"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AHL39336.1"	"KJ207207"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AHL39338.1"	"KJ207208"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AHL39340.1"	"KJ207209"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AHL39333.1"	"KJ207206"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AIT76085.1"	"KM087832"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"ABL67017.1"	"EF125013"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AIT76086.1"	"KM087833"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AIT76096.1"	"KM087843"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AIT76088.1"	"KM087835"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AIT76087.1"	"KM087834.1"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"BAP68758.1"	"LC004922"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AJG06170.1"	"KM926621"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AJG06172.1"	"KM926622"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AKS43590.1"	"KP836350.1"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"ABZ81086.1"	"EU427302"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"ACJ05689.1"	"FJ237369"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"ACJ05686.1"	"FJ237366"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"ACJ05688.1"	"FJ237368"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"CBI75448.1"	"FN645445.1"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AEI70575.1"	"HQ693810"	"ACT beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"CAB77444.1"	"AJ009979.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"ABI18382.1"	"DQ883640.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"ADG46039.1"	"GU591983.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"CAK95249.1"	"AM283529.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"CAK95248.2"	"AM283528.2"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"CAK95247.1"	"AM283527.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"CAK95246.1"	"AM283526.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"ATP60652.1"	"MG229642.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"CAK95245.1"	"AM283525.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"CAK95244.1"	"AM283524.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"CAK95243.1"	"AM283523.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"CAK95242.1"	"AM283522.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"AAO43172.1"	"AY177427.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"CAK95241.1"	"AM283521.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"CAK95240.1"	"AM283520.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"CAK95239.1"	"AM283519.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"CAK95238.1"	"AM283518.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"ABK34773.1"	"EF016355.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"AAO59456.1"	"AY178995.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"AEL30572.1"	"JF265068.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"ADX04315.1"	"CP001921.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"ACC95874.1"	"EU652244.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"AAO59457.1"	"AY178996.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"ACN62070.1"	"FJ744160.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"ACN62071.1"	"FJ744161.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"ACN62072.1"	"FJ744162.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"ACN62073.1"	"FJ744163.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"CAE00827.1"	"AJ575184.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"AEG47700.1"	"HQ662682.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"AFG25594.1"	"JQ319653.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"AFG25595.1"	"JQ319654.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"AUD40659.1"	"MG601730.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"AFH53180.1"	"JQ692087.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"AFI56570.1"	"JQ753702.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"AFK24475.1"	"JQ867374.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"AFP89364.1"	"JX169789.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"AGL39360.1"	"KC866352.1"	"ADC beta-lactamase with carbapenemase activity"	"carbapenem"	"antibiotic inactivation"
"AAT70411.1"	"AY648950.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"ALA14808.1"	"KP881233.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"ALA14809.1"	"KP881234.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"ALA14810.1"	"KP881235.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"ALA14811.1"	"KP881236.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"ALA14812.1"	"KP881237.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"ALA14813.1"	"KP881238.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"ALA14814.1"	"KP881239.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"CAL25116.3"	"AM293332.3"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"ALA14816.1"	"KP881241.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
