,input_file_name,gene_symbol,gene_name,reference_database_id,reference_database_version,reference_accession,analysis_software_name,analysis_software_version,sequence_identity,input_sequence_id,input_protein_start,input_protein_stop,input_gene_start,input_gene_stop,reference_protein_start,reference_protein_stop,reference_gene_start,reference_gene_stop,strand_orientation,coverage_depth,coverage_percentage,coverage_ratio,reference_gene_length,reference_protein_length,input_gene_length,input_protein_length,drug_class,antimicrobial_agent,resistance_mechanism,AMR Gene Family,Drug Class,Resistance Mechanism,accession_source,accession,drug_class_card,drug_class_ham,True_Positive,drugclass_new,true_positive
17,combo_contig_fasta_out,aph(3')-IIb,aminoglycoside O-phosphotransferase APH(3')-IIb,NCBI Reference Gene Database,db_v_1,WP_003113011.1,amrfinderplus,tool_v_1,99.25,NODE_27_length_210538_cov_63.527487,,,106092.0,106895.0,,,,,+,,100.0,,,268.0,,268.0,aminoglycoside,KANAMYCIN,,,,,,,,AMINOGLYCOSIDE,False,aminoglycoside,true_positive
18,combo_contig_fasta_out,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,NCBI Reference Gene Database,db_v_1,WP_000018326.1,amrfinderplus,tool_v_1,100.0,NODE_1074_length_880_cov_188.310303,,,2.0,814.0,,,,,-,,100.0,,,271.0,,271.0,aminoglycoside,KANAMYCIN,,,,,,,,AMINOGLYCOSIDE,False,aminoglycoside,true_positive
19,combo_contig_fasta_out,aph(3')-VIb,aminoglycoside O-phosphotransferase APH(3')-VIb,NCBI Reference Gene Database,db_v_1,WP_000422633.1,amrfinderplus,tool_v_1,96.91,NODE_380_length_28321_cov_63.171443,,,1850.0,2626.0,,,,,+,,100.0,,,259.0,,259.0,aminoglycoside,AMIKACIN/KANAMYCIN,,,,,,,,AMINOGLYCOSIDE,False,aminoglycoside,true_positive
20,combo_contig_fasta_out,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,NCBI Reference Gene Database,db_v_1,WP_000480968.1,amrfinderplus,tool_v_1,100.0,NODE_910_length_1699_cov_115.144161,,,31.0,864.0,,,,,-,,100.0,,,278.0,,278.0,aminoglycoside,STREPTOMYCIN,,,,,,,,AMINOGLYCOSIDE,False,aminoglycoside,true_positive
21,combo_contig_fasta_out,arsA,arsenite efflux transporter ATPase subunit ArsA,NCBI Reference Gene Database,db_v_1,BAA24822.1,amrfinderplus,tool_v_1,95.37,NODE_110_length_101782_cov_63.781376,,,69683.0,71431.0,,,,,+,,100.0,,,583.0,,583.0,arsenic,ARSENITE,,,,,,,,ARSENIC,False,arsenic,unknown
22,combo_contig_fasta_out,arsA,arsenite efflux transporter ATPase subunit ArsA,NCBI Reference Gene Database,db_v_1,AAA21094.1,amrfinderplus,tool_v_1,94.85,NODE_9_length_395280_cov_63.429755,,,311479.0,313227.0,,,,,+,,100.0,,,583.0,,583.0,arsenic,ARSENITE,,,,,,,,ARSENIC,False,arsenic,unknown
23,combo_contig_fasta_out,arsB,arsenite efflux transporter membrane subunit ArsB,NCBI Reference Gene Database,db_v_1,BAA24823.1,amrfinderplus,tool_v_1,97.9,NODE_110_length_101782_cov_63.781376,,,71481.0,72767.0,,,,,+,,100.0,,,429.0,,429.0,arsenic,ARSENITE,,,,,,,,ARSENIC,False,arsenic,unknown
24,combo_contig_fasta_out,arsB,arsenite efflux transporter membrane subunit ArsB,NCBI Reference Gene Database,db_v_1,BAA24823.1,amrfinderplus,tool_v_1,97.9,NODE_502_length_15261_cov_64.063330,,,2820.0,4106.0,,,,,+,,100.0,,,429.0,,429.0,arsenic,ARSENITE,,,,,,,,ARSENIC,False,arsenic,unknown
25,combo_contig_fasta_out,arsB,arsenite efflux transporter membrane subunit ArsB,NCBI Reference Gene Database,db_v_1,AAA21095.1,amrfinderplus,tool_v_1,96.27,NODE_9_length_395280_cov_63.429755,,,313278.0,314564.0,,,,,+,,100.0,,,429.0,,429.0,arsenic,ARSENITE,,,,,,,,ARSENIC,False,arsenic,unknown
26,combo_contig_fasta_out,arsC,glutaredoxin-dependent arsenate reductase,NCBI Reference Gene Database,db_v_1,AAB09628.1,amrfinderplus,tool_v_1,94.33,NODE_110_length_101782_cov_63.781376,,,72783.0,73205.0,,,,,+,,100.0,,,141.0,,141.0,arsenic,ARSENATE,,,,,,,,ARSENIC,False,arsenic,unknown
27,combo_contig_fasta_out,arsC,glutaredoxin-dependent arsenate reductase,NCBI Reference Gene Database,db_v_1,AAA21096.1,amrfinderplus,tool_v_1,93.62,NODE_238_length_50515_cov_64.228260,,,25178.0,25600.0,,,,,+,,100.0,,,141.0,,141.0,arsenic,ARSENATE,,,,,,,,ARSENIC,False,arsenic,unknown
28,combo_contig_fasta_out,arsC,glutaredoxin-dependent arsenate reductase,NCBI Reference Gene Database,db_v_1,AAB09628.1,amrfinderplus,tool_v_1,96.45,NODE_502_length_15261_cov_64.063330,,,4122.0,4544.0,,,,,+,,100.0,,,141.0,,141.0,arsenic,ARSENATE,,,,,,,,ARSENIC,False,arsenic,unknown
29,combo_contig_fasta_out,arsC,glutaredoxin-dependent arsenate reductase,NCBI Reference Gene Database,db_v_1,AAA21096.1,amrfinderplus,tool_v_1,90.0,NODE_612_length_7189_cov_128.721054,,,2799.0,3218.0,,,,,-,,99.29,,,141.0,,140.0,arsenic,ARSENATE,,,,,,,,ARSENIC,False,arsenic,unknown
30,combo_contig_fasta_out,arsC,glutaredoxin-dependent arsenate reductase,NCBI Reference Gene Database,db_v_1,BAA24824.1,amrfinderplus,tool_v_1,95.04,NODE_9_length_395280_cov_63.429755,,,314580.0,315002.0,,,,,+,,100.0,,,141.0,,141.0,arsenic,ARSENATE,,,,,,,,ARSENIC,False,arsenic,unknown
31,combo_contig_fasta_out,arsD,arsenite efflux transporter metallochaperone ArsD,NCBI Reference Gene Database,db_v_1,AAB09625.1,amrfinderplus,tool_v_1,92.5,NODE_110_length_101782_cov_63.781376,,,69304.0,69663.0,,,,,+,,100.0,,,120.0,,120.0,arsenic,ARSENITE,,,,,,,,ARSENIC,False,arsenic,unknown
32,combo_contig_fasta_out,arsD,arsenite efflux transporter metallochaperone ArsD,NCBI Reference Gene Database,db_v_1,AAB09625.1,amrfinderplus,tool_v_1,90.83,NODE_502_length_15261_cov_64.063330,,,644.0,1003.0,,,,,+,,100.0,,,120.0,,120.0,arsenic,ARSENITE,,,,,,,,ARSENIC,False,arsenic,unknown
33,combo_contig_fasta_out,arsD,arsenite efflux transporter metallochaperone ArsD,NCBI Reference Gene Database,db_v_1,AAA93060.1,amrfinderplus,tool_v_1,95.0,NODE_9_length_395280_cov_63.429755,,,311099.0,311458.0,,,,,+,,100.0,,,120.0,,120.0,arsenic,ARSENITE,,,,,,,,ARSENIC,False,arsenic,unknown
39,combo_contig_fasta_out,blaACT-25,cephalosporin-hydrolyzing class C beta-lactamase ACT-25,NCBI Reference Gene Database,db_v_1,WP_045351092.1,amrfinderplus,tool_v_1,100.0,NODE_337_length_34911_cov_69.401681,,,13696.0,14838.0,,,,,+,,100.0,,,381.0,,381.0,betalactam,CEPHALOSPORIN,,,,,,,,BETA-LACTAM,False,betalactam,true_positive
40,combo_contig_fasta_out,blaADC-11,class C extended-spectrum beta-lactamase ADC-11,NCBI Reference Gene Database,db_v_1,WP_001211205.1,amrfinderplus,tool_v_1,100.0,NODE_700_length_4415_cov_63.186009,,,3257.0,4405.0,,,,,-,,100.0,,,383.0,,383.0,betalactam,CEPHALOSPORIN,,,,,,,,BETA-LACTAM,False,betalactam,true_positive
41,combo_contig_fasta_out,blaCMY-48,class C beta-lactamase CMY-48,NCBI Reference Gene Database,db_v_1,WP_044699195.1,amrfinderplus,tool_v_1,100.0,NODE_441_length_21507_cov_65.008624,,,13755.0,14897.0,,,,,+,,100.0,,,381.0,,381.0,cephamycin,CEPHALOSPORIN,,,,,,,cephamycin,BETA-LACTAM,False,cephamycin,unknown
42,combo_contig_fasta_out,blaCTX-M-15,class A extended-spectrum beta-lactamase CTX-M-15,NCBI Reference Gene Database,db_v_1,WP_000239590.1,amrfinderplus,tool_v_1,100.0,NODE_959_length_1425_cov_127.207299,,,450.0,1322.0,,,,,-,,100.0,,,291.0,,291.0,cephalosporin,CEPHALOSPORIN,,,,,,,cephalosporin,BETA-LACTAM,False,cephalosporin,true_positive
43,combo_contig_fasta_out,blaEC,BlaEC family class C beta-lactamase,NCBI Reference Gene Database,db_v_1,WP_063860454.1,amrfinderplus,tool_v_1,98.14,NODE_503_length_15196_cov_66.014662,,,12939.0,14069.0,,,,,+,,100.0,,,377.0,,377.0,betalactam,BETA-LACTAM,,,,,,,,BETA-LACTAM,False,betalactam,true_positive
44,combo_contig_fasta_out,blaI,penicillinase repressor BlaI,NCBI Reference Gene Database,db_v_1,WP_001284656.1,amrfinderplus,tool_v_1,98.41,NODE_734_length_3584_cov_62.830264,,,1536.0,1913.0,,,,,-,,100.0,,,126.0,,126.0,betalactam,BETA-LACTAM,,,,,,,,BETA-LACTAM,False,betalactam,true_positive
45,combo_contig_fasta_out,blaKPC-3,carbapenem-hydrolyzing class A beta-lactamase KPC-3,NCBI Reference Gene Database,db_v_1,WP_004152396.1,amrfinderplus,tool_v_1,100.0,NODE_571_length_10008_cov_124.619512,,,1928.0,2806.0,,,,,-,,100.0,,,293.0,,293.0,betalactam,CARBAPENEM,,,,,,,,BETA-LACTAM,False,betalactam,true_positive
46,combo_contig_fasta_out,blaNDM-4,subclass B1 metallo-beta-lactamase NDM-4,NCBI Reference Gene Database,db_v_1,WP_063860861.1,amrfinderplus,tool_v_1,100.0,NODE_765_length_3143_cov_128.069301,,,2138.0,2947.0,,,,,-,,100.0,,,270.0,,270.0,carbapenem,CARBAPENEM,,,,,,,carbapenem;cephalosporin;cephamycin;penam;penem,BETA-LACTAM,False,carbapenem,unknown
46,combo_contig_fasta_out,blaNDM-4,subclass B1 metallo-beta-lactamase NDM-4,NCBI Reference Gene Database,db_v_1,WP_063860861.1,amrfinderplus,tool_v_1,100.0,NODE_765_length_3143_cov_128.069301,,,2138.0,2947.0,,,,,-,,100.0,,,270.0,,270.0,cephalosporin,CARBAPENEM,,,,,,,carbapenem;cephalosporin;cephamycin;penam;penem,BETA-LACTAM,False,cephalosporin,true_positive
46,combo_contig_fasta_out,blaNDM-4,subclass B1 metallo-beta-lactamase NDM-4,NCBI Reference Gene Database,db_v_1,WP_063860861.1,amrfinderplus,tool_v_1,100.0,NODE_765_length_3143_cov_128.069301,,,2138.0,2947.0,,,,,-,,100.0,,,270.0,,270.0,cephamycin,CARBAPENEM,,,,,,,carbapenem;cephalosporin;cephamycin;penam;penem,BETA-LACTAM,False,cephamycin,unknown
46,combo_contig_fasta_out,blaNDM-4,subclass B1 metallo-beta-lactamase NDM-4,NCBI Reference Gene Database,db_v_1,WP_063860861.1,amrfinderplus,tool_v_1,100.0,NODE_765_length_3143_cov_128.069301,,,2138.0,2947.0,,,,,-,,100.0,,,270.0,,270.0,penam,CARBAPENEM,,,,,,,carbapenem;cephalosporin;cephamycin;penam;penem,BETA-LACTAM,False,betalactam,true_positive
46,combo_contig_fasta_out,blaNDM-4,subclass B1 metallo-beta-lactamase NDM-4,NCBI Reference Gene Database,db_v_1,WP_063860861.1,amrfinderplus,tool_v_1,100.0,NODE_765_length_3143_cov_128.069301,,,2138.0,2947.0,,,,,-,,100.0,,,270.0,,270.0,penem,CARBAPENEM,,,,,,,carbapenem;cephalosporin;cephamycin;penam;penem,BETA-LACTAM,False,carbapenem,unknown
47,combo_contig_fasta_out,blaOXA,class D beta-lactamase,NCBI Reference Gene Database,db_v_1,WP_000722315.1,amrfinderplus,tool_v_1,99.64,NODE_981_length_1298_cov_145.691070,,,257.0,1078.0,,,,,-,,100.0,,,274.0,,274.0,betalactam,BETA-LACTAM,,,,,,,,BETA-LACTAM,False,betalactam,true_positive
48,combo_contig_fasta_out,blaOXA-1,oxacillin-hydrolyzing class D beta-lactamase OXA-1,NCBI Reference Gene Database,db_v_1,WP_001334766.1,amrfinderplus,tool_v_1,100.0,NODE_933_length_1586_cov_126.278903,,,636.0,1463.0,,,,,-,,100.0,,,276.0,,276.0,betalactam,CEPHALOSPORIN,,,,,,,,BETA-LACTAM,False,betalactam,true_positive
49,combo_contig_fasta_out,blaOXA-48,carbapenem-hydrolyzing class D beta-lactamase OXA-48,NCBI Reference Gene Database,db_v_1,WP_015059991.1,amrfinderplus,tool_v_1,100.0,NODE_853_length_2231_cov_59.943570,,,1412.0,2206.0,,,,,-,,100.0,,,265.0,,265.0,carbapenem,CARBAPENEM,,,,,,,carbapenem;cephalosporin;penam,BETA-LACTAM,False,carbapenem,unknown
49,combo_contig_fasta_out,blaOXA-48,carbapenem-hydrolyzing class D beta-lactamase OXA-48,NCBI Reference Gene Database,db_v_1,WP_015059991.1,amrfinderplus,tool_v_1,100.0,NODE_853_length_2231_cov_59.943570,,,1412.0,2206.0,,,,,-,,100.0,,,265.0,,265.0,cephalosporin,CARBAPENEM,,,,,,,carbapenem;cephalosporin;penam,BETA-LACTAM,False,cephalosporin,true_positive
49,combo_contig_fasta_out,blaOXA-48,carbapenem-hydrolyzing class D beta-lactamase OXA-48,NCBI Reference Gene Database,db_v_1,WP_015059991.1,amrfinderplus,tool_v_1,100.0,NODE_853_length_2231_cov_59.943570,,,1412.0,2206.0,,,,,-,,100.0,,,265.0,,265.0,penam,CARBAPENEM,,,,,,,carbapenem;cephalosporin;penam,BETA-LACTAM,False,betalactam,true_positive
50,combo_contig_fasta_out,blaOXA-66,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66,NCBI Reference Gene Database,db_v_1,WP_001021792.1,amrfinderplus,tool_v_1,100.0,NODE_25_length_221718_cov_63.330551,,,65089.0,65910.0,,,,,-,,100.0,,,274.0,,274.0,betalactam,CARBAPENEM,,,,,,,,BETA-LACTAM,False,betalactam,true_positive
51,combo_contig_fasta_out,blaOXA-72,OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-72,NCBI Reference Gene Database,db_v_1,WP_000713530.1,amrfinderplus,tool_v_1,100.0,NODE_1058_length_942_cov_64.217587,,,34.0,858.0,,,,,-,,100.0,,,275.0,,275.0,betalactam,CARBAPENEM,,,,,,,,BETA-LACTAM,False,betalactam,true_positive
52,combo_contig_fasta_out,blaOXA-905,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-905,NCBI Reference Gene Database,db_v_1,WP_003161096.1,amrfinderplus,tool_v_1,100.0,NODE_18_length_269003_cov_63.427332,,,112385.0,113170.0,,,,,+,,100.0,,,262.0,,262.0,betalactam,BETA-LACTAM,,,,,,,,BETA-LACTAM,False,betalactam,true_positive
53,combo_contig_fasta_out,blaPDC-8,class C beta-lactamase PDC-8,NCBI Reference Gene Database,db_v_1,WP_003118203.1,amrfinderplus,tool_v_1,100.0,NODE_27_length_210538_cov_63.527487,,,119257.0,120447.0,,,,,-,,100.0,,,397.0,,397.0,betalactam,CEPHALOSPORIN,,,,,,,,BETA-LACTAM,False,betalactam,true_positive
54,combo_contig_fasta_out,blaPER-1,inhibitor-resistant class A extended-spectrum beta-lactamase PER-1,NCBI Reference Gene Database,db_v_1,WP_001100753.1,amrfinderplus,tool_v_1,100.0,NODE_638_length_6076_cov_63.771300,,,1522.0,2445.0,,,,,-,,100.0,,,308.0,,308.0,betalactam,CEPHALOSPORIN,,,,,,,,BETA-LACTAM,False,betalactam,true_positive
55,combo_contig_fasta_out,blaR1,beta-lactam sensor/signal transducer BlaR1,NCBI Reference Gene Database,db_v_1,WP_001096392.1,amrfinderplus,tool_v_1,95.53,NODE_734_length_3584_cov_62.830264,,,1906.0,3582.0,,,,,-,,95.56,,,585.0,,559.0,betalactam,BETA-LACTAM,,,,,,,,BETA-LACTAM,False,betalactam,true_positive
56,combo_contig_fasta_out,blaSHV-12,class A extended-spectrum beta-lactamase SHV-12,NCBI Reference Gene Database,db_v_1,WP_002904004.1,amrfinderplus,tool_v_1,100.0,NODE_904_length_1740_cov_248.284273,,,24.0,881.0,,,,,+,,100.0,,,286.0,,286.0,betalactam,CEPHALOSPORIN,,,,,,,,BETA-LACTAM,False,betalactam,true_positive
57,combo_contig_fasta_out,blaSRT,SRT/SST family class C beta-lactamase,NCBI Reference Gene Database,db_v_1,WP_047567658.1,amrfinderplus,tool_v_1,97.88,NODE_39_length_188090_cov_63.668418,,,71438.0,72571.0,,,,,-,,100.0,,,378.0,,378.0,betalactam,CEPHALOSPORIN,,,,,,,,BETA-LACTAM,False,betalactam,true_positive
58,combo_contig_fasta_out,blaTEM,TEM family class A beta-lactamase,NCBI Reference Gene Database,db_v_1,WP_000027057.1,amrfinderplus,tool_v_1,100.0,NODE_1053_length_990_cov_318.018182,,,1.0,840.0,,,,,+,,97.9,,,286.0,,280.0,betalactam,BETA-LACTAM,,,,,,,,BETA-LACTAM,False,betalactam,true_positive
59,combo_contig_fasta_out,blaVIM-4,subclass B1 metallo-beta-lactamase VIM-4,NCBI Reference Gene Database,db_v_1,WP_032492008.1,amrfinderplus,tool_v_1,100.0,NODE_1070_length_895_cov_52.776190,,,16.0,813.0,,,,,-,,100.0,,,266.0,,266.0,betalactam,CARBAPENEM,,,,,,,,BETA-LACTAM,False,betalactam,true_positive
60,combo_contig_fasta_out,blaZ,penicillin-hydrolyzing class A beta-lactamase BlaZ,NCBI Reference Gene Database,db_v_1,WP_000733287.1,amrfinderplus,tool_v_1,100.0,NODE_506_length_14937_cov_66.210724,,,180.0,1022.0,,,,,+,,100.0,,,281.0,,281.0,betalactam,BETA-LACTAM,,,,,,,,BETA-LACTAM,False,betalactam,true_positive
61,combo_contig_fasta_out,ble,bleomycin binding protein Ble-MBL,NCBI Reference Gene Database,db_v_1,WP_004201167.1,amrfinderplus,tool_v_1,100.0,NODE_765_length_3143_cov_128.069301,,,1769.0,2131.0,,,,,-,,100.0,,,121.0,,121.0,bleomycin,BLEOMYCIN,,,,,,,,BLEOMYCIN,False,bleomycin,unknown
62,combo_contig_fasta_out,cadD,cadmium resistance transporter CadD,NCBI Reference Gene Database,db_v_1,BAB43874.1,amrfinderplus,tool_v_1,100.0,NODE_506_length_14937_cov_66.210724,,,3855.0,4469.0,,,,,-,,100.0,,,205.0,,205.0,cadmium,CADMIUM,,,,,,,,CADMIUM,False,cadmium,unknown
63,combo_contig_fasta_out,catA1,type A-1 chloramphenicol O-acetyltransferase,NCBI Reference Gene Database,db_v_1,WP_000412211.1,amrfinderplus,tool_v_1,100.0,NODE_924_length_1615_cov_66.925000,,,684.0,1340.0,,,,,-,,100.0,,,219.0,,219.0,phenicolantibiotic,CHLORAMPHENICOL,,,,,,,phenicol antibiotic,PHENICOL,False,phenicol,true_positive
64,combo_contig_fasta_out,catB3,type B-3 chloramphenicol O-acetyltransferase CatB3,NCBI Reference Gene Database,db_v_1,WP_000186237.1,amrfinderplus,tool_v_1,100.0,NODE_933_length_1586_cov_126.278903,,,55.0,495.0,,,,,-,,70.0,,,210.0,,147.0,phenicolantibiotic,CHLORAMPHENICOL,,,,,,,phenicol antibiotic,PHENICOL,False,phenicol,true_positive
65,combo_contig_fasta_out,catB7,type B-4 chloramphenicol O-acetyltransferase CatB7,NCBI Reference Gene Database,db_v_1,WP_003112709.1,amrfinderplus,tool_v_1,99.06,NODE_192_length_65108_cov_63.356079,,,52228.0,52863.0,,,,,-,,100.0,,,212.0,,212.0,phenicol,CHLORAMPHENICOL,,,,,,,,PHENICOL,False,phenicol,true_positive
66,combo_contig_fasta_out,crpP,ciprofloxacin resistance protein CrpP,NCBI Reference Gene Database,db_v_1,WP_033179079.1,amrfinderplus,tool_v_1,95.38,NODE_11_length_344136_cov_63.644839,,,3742.0,3936.0,,,,,+,,100.0,,,65.0,,65.0,fluoroquinolone,FLUOROQUINOLONE,,,,,,,,FLUOROQUINOLONE,False,quinolone,true_positive
67,combo_contig_fasta_out,dfrA12,trimethoprim-resistant dihydrofolate reductase DfrA12,NCBI Reference Gene Database,db_v_1,WP_001083725.1,amrfinderplus,tool_v_1,100.0,NODE_1048_length_1023_cov_64.204545,,,56.0,550.0,,,,,+,,100.0,,,165.0,,165.0,diaminopyrimidineantibiotic,TRIMETHOPRIM,,,,,,,diaminopyrimidine antibiotic,TRIMETHOPRIM,False,diaminopyrimidine,unknown
68,combo_contig_fasta_out,dfrA14,trimethoprim-resistant dihydrofolate reductase DfrA14,NCBI Reference Gene Database,db_v_1,WP_004201280.1,amrfinderplus,tool_v_1,100.0,NODE_972_length_1346_cov_70.786987,,,71.0,541.0,,,,,+,,100.0,,,157.0,,157.0,trimethoprim,TRIMETHOPRIM,,,,,,,,TRIMETHOPRIM,False,trimethoprim,unknown
69,combo_contig_fasta_out,dfrA17,trimethoprim-resistant dihydrofolate reductase DfrA17,NCBI Reference Gene Database,db_v_1,WP_001389366.1,amrfinderplus,tool_v_1,100.0,NODE_926_length_1610_cov_65.670740,,,1072.0,1542.0,,,,,-,,100.0,,,157.0,,157.0,diaminopyrimidineantibiotic,TRIMETHOPRIM,,,,,,,diaminopyrimidine antibiotic,TRIMETHOPRIM,False,diaminopyrimidine,unknown
70,combo_contig_fasta_out,dfrA19,trimethoprim-resistant dihydrofolate reductase DfrA19,NCBI Reference Gene Database,db_v_1,WP_000019304.1,amrfinderplus,tool_v_1,100.0,NODE_925_length_1610_cov_115.917685,,,456.0,1022.0,,,,,-,,100.0,,,189.0,,189.0,trimethoprim,TRIMETHOPRIM,,,,,,,,TRIMETHOPRIM,False,trimethoprim,unknown
71,combo_contig_fasta_out,dfrA8,trimethoprim-resistant dihydrofolate reductase DfrA8,NCBI Reference Gene Database,db_v_1,WP_000571065.1,amrfinderplus,tool_v_1,100.0,NODE_985_length_1283_cov_63.096091,,,682.0,1188.0,,,,,-,,100.0,,,169.0,,169.0,trimethoprim,TRIMETHOPRIM,,,,,,,,TRIMETHOPRIM,False,trimethoprim,unknown
